s,C,%,ug/m3,
Time,temp,humid,density_CO,
1056 ,224.197950 ,2.707481 ,49.832175 ,
1057 ,172.072450 ,2.251952 ,42.411736 ,
1058 ,239.471980 ,3.274276 ,61.270144 ,
1060 ,224.039930 ,3.013827 ,59.275410 ,
1061 ,197.567550 ,2.670463 ,51.119697 ,
1062 ,180.271620 ,2.233791 ,39.581596 ,
1063 ,222.196510 ,3.066338 ,58.771062 ,
1064 ,232.152670 ,2.857468 ,52.883872 ,
1066 ,187.450070 ,2.462765 ,46.964579 ,
1067 ,206.683840 ,3.026699 ,53.914057 ,
1068 ,191.166170 ,2.724048 ,54.621381 ,
1069 ,233.991580 ,3.237826 ,62.872646 ,
1070 ,203.688810 ,2.481172 ,46.879658 ,
1072 ,241.055580 ,3.168229 ,60.358428 ,
1073 ,219.036220 ,2.740595 ,48.308349 ,
1074 ,245.353130 ,2.999987 ,55.301663 ,
1075 ,291.650230 ,3.611837 ,65.770364 ,
1076 ,235.678060 ,3.225027 ,62.992582 ,
1078 ,322.774510 ,4.364143 ,78.590572 ,
1079 ,273.330340 ,3.272286 ,59.560567 ,
1080 ,228.208200 ,2.890111 ,53.474884 ,
1081 ,201.761230 ,2.771852 ,54.203009 ,
1082 ,200.638560 ,2.799621 ,54.903292 ,
1084 ,186.099240 ,2.630605 ,52.423226 ,
1085 ,245.026990 ,3.275432 ,62.011778 ,
1086 ,214.452040 ,3.059917 ,59.047152 ,
1087 ,232.910080 ,3.369214 ,64.913852 ,
1088 ,233.745140 ,3.211932 ,62.738739 ,
1090 ,255.145880 ,3.287694 ,61.653600 ,
1091 ,217.335440 ,3.285104 ,65.585638 ,
1092 ,207.806360 ,2.838378 ,55.648292 ,
1093 ,185.297040 ,2.368371 ,44.610052 ,
1094 ,188.004460 ,2.547039 ,48.639176 ,
1096 ,222.919770 ,2.983444 ,57.272469 ,
1097 ,166.156170 ,2.096772 ,38.817958 ,
1098 ,180.090520 ,2.317473 ,43.789401 ,
1099 ,174.026090 ,2.327594 ,43.580039 ,
1100 ,129.337490 ,1.567890 ,22.787954 ,
1102 ,176.614240 ,2.205591 ,40.279564 ,
1103 ,223.201390 ,3.116217 ,61.723267 ,
1104 ,190.783700 ,2.804808 ,56.757492 ,
1105 ,179.856970 ,2.388729 ,41.630099 ,
1106 ,195.577990 ,2.669188 ,52.074173 ,
1108 ,148.840870 ,2.322393 ,47.232476 ,
1109 ,179.729550 ,2.555829 ,50.395642 ,
1110 ,163.432520 ,2.265382 ,43.763456 ,
1111 ,210.987510 ,2.939401 ,56.897840 ,
1112 ,194.673380 ,2.705642 ,53.586588 ,
1114 ,154.744870 ,2.189122 ,42.650859 ,
1115 ,222.550000 ,3.323970 ,67.227343 ,
1116 ,173.678600 ,2.543956 ,50.989142 ,
1117 ,171.152530 ,2.593028 ,52.383462 ,
1118 ,182.198600 ,2.740396 ,54.347388 ,
1120 ,227.963040 ,3.413471 ,68.066762 ,
1121 ,163.192130 ,2.465647 ,50.142884 ,
1122 ,216.620160 ,3.274662 ,65.068682 ,
1123 ,189.194440 ,2.636106 ,51.525127 ,
1124 ,159.390170 ,2.435241 ,48.328850 ,
1126 ,190.186790 ,2.599336 ,51.618580 ,
1127 ,184.262030 ,2.412653 ,46.212635 ,
1128 ,193.415050 ,2.823750 ,57.358931 ,
1129 ,263.602090 ,3.720961 ,72.487857 ,
1130 ,194.454340 ,2.840502 ,57.426340 ,
1132 ,194.368040 ,2.595594 ,50.530522 ,
1133 ,175.692490 ,2.519664 ,46.695712 ,
1134 ,216.901180 ,2.931022 ,56.186487 ,
1135 ,192.353860 ,2.576433 ,48.403395 ,
1136 ,184.859950 ,2.536868 ,48.792057 ,
1138 ,147.416820 ,1.893928 ,33.964205 ,
1139 ,169.102150 ,2.189592 ,39.554877 ,
1140 ,157.864870 ,2.121406 ,40.356745 ,
1141 ,158.634460 ,1.993288 ,36.010921 ,
1142 ,188.890900 ,2.386173 ,44.379051 ,
1144 ,160.357470 ,2.484284 ,49.881264 ,
1145 ,204.044720 ,2.819305 ,51.042015 ,
1146 ,203.115870 ,2.596096 ,49.233683 ,
1147 ,157.168960 ,2.261629 ,44.144178 ,
1148 ,201.096590 ,2.567667 ,48.810219 ,
1150 ,183.989840 ,2.442405 ,45.534954 ,
1151 ,234.606840 ,3.198892 ,62.020438 ,
1152 ,254.619840 ,3.430264 ,63.662016 ,
1153 ,206.928870 ,2.902774 ,55.984746 ,
1154 ,161.822320 ,2.205433 ,42.502923 ,
1156 ,228.209640 ,3.253980 ,65.536574 ,
1157 ,176.884170 ,2.350154 ,44.759909 ,
1158 ,185.589000 ,2.436657 ,46.630675 ,
1159 ,231.186420 ,3.045067 ,58.470488 ,
1160 ,198.758450 ,2.451407 ,45.108126 ,
1162 ,205.149200 ,2.768428 ,49.832763 ,
1163 ,232.779630 ,3.082588 ,59.259247 ,
1164 ,194.086960 ,2.482965 ,47.842950 ,
1165 ,221.402600 ,2.747474 ,51.015889 ,
1166 ,226.800480 ,2.990985 ,57.636397 ,
1168 ,198.462450 ,2.840200 ,53.599280 ,
1169 ,186.303280 ,2.178435 ,39.552504 ,
1170 ,193.088960 ,2.451641 ,46.575776 ,
1171 ,197.235720 ,2.325749 ,41.755546 ,
1172 ,230.966100 ,2.809867 ,52.603025 ,
1174 ,187.735730 ,2.427629 ,45.165185 ,
1175 ,212.876040 ,2.563062 ,47.131876 ,
1176 ,172.701630 ,2.088059 ,37.219464 ,
1177 ,193.235630 ,2.488016 ,47.461654 ,
1178 ,173.688330 ,2.418847 ,47.601682 ,
1180 ,167.243020 ,2.255532 ,43.045986 ,
1181 ,203.333020 ,2.718512 ,53.199902 ,
1182 ,160.227870 ,2.181918 ,41.989854 ,
1183 ,192.623460 ,2.471272 ,46.584262 ,
1184 ,185.602910 ,2.364420 ,44.777894 ,
1186 ,204.062680 ,2.781783 ,55.218687 ,
1187 ,185.016310 ,2.492739 ,48.215624 ,
1188 ,196.933820 ,2.941075 ,58.927210 ,
1189 ,183.377380 ,2.519761 ,49.072127 ,
1190 ,139.983050 ,1.863680 ,33.084498 ,
1192 ,176.551970 ,2.262492 ,42.550648 ,
1193 ,138.663190 ,2.136710 ,35.953287 ,
1194 ,194.558520 ,2.601116 ,50.319143 ,
1195 ,190.623360 ,2.465168 ,46.072487 ,
1196 ,183.112640 ,2.379117 ,44.522635 ,
1198 ,211.192760 ,2.734947 ,51.268455 ,
1199 ,198.205490 ,2.796306 ,56.413011 ,
1200 ,192.766820 ,2.648086 ,51.994613 ,
