time,temp,humid,gas,defuzz
310.000000,65.442346,5.262878,16.132193,80.297275
311.000000,72.151528,3.892296,18.791087,80.297275
312.000000,79.056373,3.047465,20.688334,80.295209
313.000000,77.468746,3.178875,19.371018,80.297275
314.000000,63.968844,6.149624,16.121285,80.297275
316.000000,65.367232,5.043973,15.824159,80.297275
317.000000,53.208585,7.902025,10.938559,79.158214
318.000000,52.790082,8.092355,10.634199,78.980698
319.000000,61.569795,5.803731,14.174260,80.297275
320.000000,58.874884,6.286180,12.913340,80.288868
322.000000,52.097773,8.336318,10.517523,78.660143
323.000000,53.022106,8.050165,11.422249,79.080665
324.000000,55.381732,7.110457,11.110925,79.868938
325.000000,50.771865,8.988305,10.486404,77.959565
326.000000,52.141000,8.375731,11.368015,78.681123
328.000000,53.948604,7.702979,11.554164,79.440716
329.000000,52.083826,8.310565,10.795523,78.653343
330.000000,60.358951,5.940993,13.322906,80.297275
331.000000,63.167537,5.346470,14.884786,80.297275
332.000000,54.342146,7.525623,11.419535,79.574128
334.000000,52.713218,8.048038,10.779913,78.946742
335.000000,54.779566,7.523130,12.117522,79.708420
336.000000,53.947473,7.869700,12.415993,79.440315
337.000000,59.005625,6.226832,12.973440,80.291372
338.000000,49.013496,9.634627,9.842192,78.080199
340.000000,55.162516,7.575801,12.702390,79.813765
341.000000,52.507495,8.623672,11.642546,78.853825
342.000000,56.294157,7.193830,13.100275,80.058825
343.000000,55.263735,7.379239,12.447095,79.839703
344.000000,54.068899,8.017058,11.792985,79.482756
346.000000,52.650021,8.294513,11.583676,78.918506
347.000000,58.023407,6.609928,13.464492,80.255449
348.000000,62.053504,5.734571,14.959245,80.297275
349.000000,61.321852,5.892271,14.215325,80.297275
350.000000,54.137944,8.035691,12.500490,79.506378
352.000000,61.066457,5.887430,14.951822,80.297275
353.000000,65.347689,4.998767,16.203880,80.297275
354.000000,59.245331,6.247129,13.666441,80.294587
355.000000,63.341993,5.380516,14.976359,80.297275
356.000000,63.149307,5.419021,15.465081,80.297275
358.000000,68.750795,4.516136,16.524829,80.297275
359.000000,64.228117,5.579789,16.101472,80.297275
360.000000,64.296699,5.224100,15.532028,80.297275
361.000000,78.470252,3.121383,20.058677,80.297272
362.000000,70.444649,4.120382,17.650261,80.297275
364.000000,69.852783,5.092306,17.337340,80.297275
365.000000,70.788119,4.102800,17.850729,80.297275
366.000000,79.882432,2.968088,20.405874,80.296809
367.000000,73.315955,3.787991,18.244755,80.297275
368.000000,64.167383,5.633486,17.347801,80.297275
370.000000,67.605534,4.796179,17.494662,80.297275
371.000000,76.303788,3.614412,20.919273,80.292551
372.000000,87.798747,2.345568,23.150702,80.143915
373.000000,93.800955,1.952686,24.491806,79.899075
374.000000,74.896018,5.116868,18.396960,80.297275
376.000000,55.403432,7.099433,11.012217,79.874206
377.000000,55.558932,7.091126,11.442715,79.910826
378.000000,50.987893,8.758127,10.702754,78.080973
379.000000,55.255041,7.280899,11.964797,79.837507
380.000000,55.876270,7.063302,11.941644,79.979780
382.000000,52.362524,8.361715,10.636140,78.786602
383.000000,55.200589,7.420080,12.124396,79.823644
384.000000,53.425166,7.954506,11.659147,79.245106
385.000000,52.310006,8.319813,11.188389,78.761878
386.000000,53.187848,7.966962,11.511743,79.149715
388.000000,54.967979,7.372604,11.970136,79.761688
389.000000,52.779793,8.166964,11.695124,78.976176
390.000000,58.060519,6.478537,12.643111,80.257622
391.000000,52.672702,8.374486,11.481366,78.928674
392.000000,54.708872,7.497750,11.653713,79.687709
394.000000,51.418982,9.067540,10.832101,78.315011
395.000000,59.317306,6.517056,14.323517,80.295259
396.000000,67.075891,4.801857,17.189840,80.297275
397.000000,58.149863,6.910027,13.975753,80.262571
398.000000,67.994949,4.726984,16.638078,80.297275
400.000000,76.780650,3.282951,19.711336,80.297275
401.000000,74.096208,3.664071,18.641989,80.297275
402.000000,73.830833,3.581419,18.270479,80.297275
403.000000,65.512245,4.966587,15.649177,80.297275
404.000000,68.883302,4.352447,16.958786,80.297275
406.000000,64.760550,5.389211,15.185426,80.297275
407.000000,61.507319,6.704001,15.900390,80.297275
408.000000,70.168589,4.208119,18.342617,80.297275
409.000000,56.281755,7.345141,13.035868,80.056659
410.000000,71.149049,4.177489,18.256055,80.297275
412.000000,88.467751,2.895231,24.488463,79.899857
413.000000,74.785610,3.912170,20.824371,80.293810
414.000000,72.544875,3.843837,17.150569,80.297275
415.000000,57.164878,7.242113,13.056119,80.182577
416.000000,57.964236,7.617020,13.309192,80.251820
418.000000,66.992077,4.752807,17.232580,80.297275
419.000000,80.538994,3.087337,20.718708,80.294931
