time,temp,humid,gas,smoke,defuzz
194.402280,55.815914,6.790612,9.602359,24.651932,79.967225
195.617440,64.480466,4.992351,13.960609,35.840776,79.972766
196.813060,51.115455,8.799860,10.246769,26.306313,78.151407
198.002370,53.413226,7.828506,9.665008,24.812770,79.240404
199.210300,62.065658,5.780507,13.361371,34.302365,79.253075
200.404940,54.554473,7.466712,10.732144,27.552405,79.641169
201.600880,59.311888,6.259905,11.808703,30.316234,78.969743
202.806260,62.022185,5.638001,12.968106,33.292742,78.548848
204.013230,52.906839,7.914908,9.832778,25.243481,79.031482
205.201060,48.651685,9.597626,8.834034,22.679428,78.277450
206.405240,49.334139,9.232755,8.559727,21.975206,77.899016
207.604380,52.031751,8.263263,9.826430,25.227185,78.627897
208.820790,54.302912,7.410909,10.028711,25.746496,79.561371
210.012380,58.848351,6.245371,12.277054,31.518619,78.027306
211.219200,50.546147,8.949529,9.067487,23.278766,77.829859
212.420420,66.162837,4.690661,14.586512,37.447642,80.272032
213.602430,61.573173,5.595956,13.175487,33.825148,78.941729
214.821000,69.462196,4.132845,15.941524,40.926337,80.297275
216.010460,71.878829,3.920486,17.038754,43.743231,80.297275
217.225760,60.158208,5.758034,11.617196,29.824581,79.286393
218.410660,59.635038,5.849042,10.866697,27.897841,80.098220
219.623680,57.722505,6.402302,10.835645,27.818121,80.117048
220.824500,59.374212,6.024640,11.958159,30.699928,78.693844
222.006410,54.159316,7.485394,10.303029,26.450748,79.513619
223.207780,52.365273,8.049667,9.595922,24.635407,78.787890
224.416310,58.329074,6.197037,10.808901,27.749463,80.132365
225.601200,37.923975,16.308933,5.267237,13.522466,73.245785
226.814990,50.538345,8.701878,8.826452,22.659962,77.825311
228.018520,45.371638,11.209172,6.759338,17.353105,79.055413
229.215680,49.911352,9.394007,8.879147,22.795246,77.558394
230.415820,49.994066,8.926552,8.781043,22.543385,77.508192
231.620770,54.561028,7.622523,10.358311,26.592673,79.643179
232.813800,62.268410,5.572927,13.400516,34.402859,79.313500
234.010670,59.346642,6.042757,12.061722,30.965804,78.488579
235.212450,57.260741,7.007862,11.091112,28.473976,79.928181
236.420770,40.648900,14.496935,6.540057,16.790149,79.401740
237.605790,49.860316,9.257857,9.305642,23.890178,77.589283
238.819140,54.417293,7.821862,11.476062,29.462249,79.491999
240.029010,50.771102,9.358514,9.102801,23.369429,77.959130
241.228250,46.432703,10.588487,8.105041,20.807900,78.813489
242.421100,52.488024,7.975552,9.176322,23.558178,78.844883
243.600700,52.067998,7.934558,8.426182,21.632357,78.645632
244.809380,55.488536,6.990899,9.670078,24.825786,79.894466
246.015360,54.051344,7.585091,10.104195,25.940286,79.476685
247.217130,61.579001,5.666124,13.390889,34.378145,79.298810
248.413390,51.976842,8.471532,10.477526,26.898730,78.600825
249.615240,53.816128,7.793117,10.518500,27.003922,79.393149
250.807060,48.138421,10.814257,8.491732,21.800644,78.543399
252.016380,49.251930,9.380960,8.196078,21.041617,77.945985
253.220760,49.738326,9.022995,8.265782,21.220568,77.662418
254.425030,55.048486,7.182569,10.465266,26.867256,79.783587
255.619670,55.115224,7.306415,11.053605,28.377686,79.801385
256.822380,48.145252,10.132634,7.872636,20.211252,78.352805
258.008290,43.120502,12.837045,6.379795,16.378711,79.618298
259.211740,51.096334,8.618255,9.713097,24.936227,78.140893
260.404110,58.951570,6.212026,12.292290,31.557735,77.992982
